"IDHOTEL","IDTIPOUH","IDGRUPOUH","DESCRICAO","CODREDUZIDO","QTDREAL"
2,4,1,"LUXO - LX / TWIN","LX",33
2,5,2,"SUITE CASAL - SC","SC",0
2,13,2,"SUITE EXECUTIVA / CASAL","SUEX",4
3,1,1,"EXECUTIVO - CAMA SOLTEIRO","EXST",74
3,13,2,"SUITE CASAL","SC",5
4,1,1,"STANDARD - STND","STND",0
4,14,2,"SUITE PREMIUM - SP","SUPR",0
4,4,1,"LUXO - LX","LX",0
4,5,1,"SUITE CASAL - SC","SC",0
4,13,2,"SUITE MASTER - SM","SM1K",0
1,1,2,"STANDARD - NAO USAR","STND",0
2,17,1,"LUXO -LC","LC",65
2,18,1,"LUXO - LT","LT",6
-1,10,2,"SUITE EXECUTIVA/LUXO 1 CAMA DE CASAL","SE1K",0
3,15,1,"EXECUTIVO - CAMA CASAL","EXCS",36
-1,16,1,"Apartamento Solteiro 2 camans de solteiro","SG2K",null
1,4,1,"EXECUTIVO TWIN","ETW",12
1,5,1,"EXECUTIVO KING CASAL","EK",12
4,15,1,"EXECUTIVO","EXEC",0
1,19,1,"SUPERIOR TWIN","STW",36
1,20,1,"SUPERIOR QUEEN CASAL","SUQ",36
1,21,2,"SUPERIOR TRIPLO - NAO USAR","TPL",0
11,22,1,"SUPERIOR QUEEN HANDICAPPED NAO FUMANTE","SQHN",1
9,904,1,"LUXO - LX / TWIN","LX",24
9,905,1,"LT X - CAMA EXTRA","LTX",7
9,913,2,"SUITE EXECUTIVA / CASAL","SUEX",4
9,917,1,"LUXO -LC","LC",66
9,918,1,"LUXO - LT","LT",7
12,1222,1,"SUPERIOR QUEEN HANDICAPPED NAO FUMANTE","SQHN",1
12,2301,2,"STANDARD - NAO USAR","STND",0
12,2304,1,"EXECUTIVO TWIN","ETW",1
12,2305,1,"EXECUTIVO KING CASAL","EK",20
12,2319,1,"SUPERIOR TWIN / DBL","STW",25
12,2320,1,"SUPERIOR KING CASAL","SUK",38
12,2321,1,"EXECUTIVO TRIPLO TWIN","ETT",11
7,701,1,"EXECUTIVO - CAMA SOLTEIRO","EXST",74
7,713,2,"SUITE CASAL","SC",5
7,715,1,"EXECUTIVO - CAMA CASAL","EXCS",36
11,1101,2,"STANDARD - NAO USAR","STND",0
11,1104,1,"EXECUTIVO TWIN","ETW",0
11,1105,1,"EXECUTIVO KING CASAL","EK",20
11,1119,1,"SUPERIOR TWIN / DBL","STW",28
11,1120,1,"SUPERIOR KING CASAL","SUK",43
11,1121,1,"EXECUTIVO TRIPLO TWIN","ETT",4
